-1.07, 4.56, 8.32, -0.09, -0.14, -0.00, 19.69, -12.63, -42.50, 0.0313,
-1.27, 4.48, 8.58, -0.09, -0.14, -0.00, 19.69, -12.63, -42.50, 0.0313,
-1.27, 4.48, 8.58, -0.09, -0.14, -0.00, 19.69, -12.63, -42.50, 0.0469,
-1.27, 4.48, 8.58, 0.00, -0.10, -0.06, 19.69, -12.63, -42.50, 0.0469,
-1.27, 4.48, 8.58, 0.00, -0.10, -0.06, 19.69, -12.63, -42.50, 0.0469,
-1.27, 4.48, 8.58, 0.00, -0.10, -0.06, 19.69, -12.63, -42.50, 0.0469,
-1.27, 4.48, 8.58, 0.00, -0.10, -0.06, 19.69, -12.63, -42.50, 0.0469,
-1.27, 4.48, 8.58, 0.00, -0.10, -0.06, 19.69, -12.63, -42.50, 0.0625,
-0.88, 4.86, 7.97, -0.09, 0.18, 0.04, 19.69, -13.75, -43.81, 0.1406,
-0.88, 4.86, 7.97, -0.09, 0.18, 0.04, 19.69, -13.75, -43.81, 0.1563,
-0.88, 4.86, 7.97, -0.09, 0.18, 0.04, 19.69, -13.75, -43.81, 0.1563,
-0.88, 4.86, 7.97, -0.09, 0.18, 0.04, 19.69, -13.75, -43.81, 0.1563,
-0.61, 4.83, 8.01, -0.09, 0.18, 0.04, 19.69, -13.75, -43.81, 0.1563,
-0.61, 4.83, 8.01, -0.09, 0.18, 0.04, 18.19, -13.00, -40.00, 0.1719,
-0.61, 4.83, 8.01, -0.09, 0.18, 0.04, 18.19, -13.00, -40.00, 0.1719,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 19.25, -14.50, -43.31, 0.2500,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 19.25, -14.50, -43.31, 0.2500,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 19.25, -14.50, -43.31, 0.2656,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 19.25, -14.50, -43.31, 0.2656,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 21.06, -13.56, -40.94, 0.2656,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 21.06, -13.56, -40.94, 0.2656,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 21.06, -13.56, -40.94, 0.2813,
-1.04, 4.52, 8.04, -0.09, 0.23, 0.10, 21.06, -13.56, -40.94, 0.2813,
-1.11, 4.67, 8.28, -0.02, -0.09, 0.05, 19.00, -13.06, -44.12, 0.3594,
-1.11, 4.67, 8.28, -0.02, -0.09, 0.05, 20.00, -12.56, -40.88, 0.3594,
-1.11, 4.67, 8.28, -0.02, -0.09, 0.05, 20.00, -12.56, -40.88, 0.3750,
-1.11, 4.67, 8.28, -0.02, -0.09, 0.05, 20.00, -12.56, -40.88, 0.3750,
-1.11, 4.67, 8.28, -0.02, -0.09, 0.05, 20.00, -12.56, -40.88, 0.3750,
-0.69, 4.64, 8.28, -0.02, -0.09, 0.05, 20.00, -12.56, -40.88, 0.3750,
-0.69, 4.64, 8.28, -0.02, -0.09, 0.05, 20.00, -12.56, -40.88, 0.3906,
