a,0.07,-0.21,9.79,0.033
a,0.07,-0.21,9.79,0.042
a,0.07,-0.25,9.79,0.046
a,0.07,-0.25,9.79,0.051
a,0.03,-0.25,9.79,0.053
a,0.07,-0.25,9.83,0.057
a,0.07,-0.21,9.79,0.060
a,0.03,-0.25,9.75,0.065
a,0.03,-0.25,9.75,0.069
a,0.07,-0.25,9.75,0.072
a,0.03,-0.25,9.79,0.077
a,0.03,-0.25,9.79,0.081
a,0.07,-0.25,9.79,0.084
a,0.07,-0.25,9.79,0.089
a,0.07,-0.21,9.79,0.092
a,0.07,-0.25,9.79,0.096
a,0.07,-0.25,9.79,0.101
a,0.07,-0.25,9.75,0.104
a,0.07,-0.25,9.75,0.108
a,0.03,-0.25,9.75,0.112
a,0.07,-0.21,9.75,0.116
a,0.07,-0.25,9.75,0.120
a,0.07,-0.21,9.79,0.124
a,0.07,-0.25,9.75,0.128
a,0.07,-0.25,9.79,0.133
r,0.51,-0.00,-0.01,0.86,0.140
r,0.51,-0.00,-0.01,0.86,0.144
a,0.07,-0.25,9.75,0.147
a,0.07,-0.21,9.83,0.149
a,0.14,-0.29,9.83,0.153
r,0.51,-0.00,-0.01,0.86,0.156
a,0.03,-0.21,9.79,0.160
r,0.51,-0.00,-0.01,0.86,0.164
a,0.07,-0.21,9.79,0.168
a,0.07,-0.21,9.75,0.171
a,0.07,-0.21,9.75,0.174
r,0.51,-0.00,-0.01,0.86,0.177
a,0.03,-0.21,9.75,0.181
r,0.51,-0.00,-0.01,0.86,0.186
a,0.07,-0.21,9.75,0.190
r,0.51,-0.00,-0.01,0.86,0.194
a,0.07,-0.21,9.79,0.197
a,0.03,-0.25,9.75,0.199
r,0.51,-0.00,-0.01,0.86,0.204
a,0.03,-0.21,9.75,0.208
a,0.03,-0.21,9.71,0.210
a,0.07,-0.25,9.75,0.214
r,0.51,-0.00,-0.01,0.86,0.217
a,0.03,-0.25,9.75,0.221
r,0.51,-0.00,-0.01,0.86,0.226
a,0.07,-0.25,9.79,0.229
a,0.03,-0.25,9.79,0.233
r,0.51,-0.00,-0.01,0.86,0.236
a,0.07,-0.25,9.79,0.239
r,0.51,-0.00,-0.01,0.86,0.244
a,0.07,-0.21,9.75,0.248
a,0.07,-0.25,9.79,0.251
r,0.51,-0.00,-0.01,0.86,0.256
a,0.07,-0.25,9.75,0.258
a,0.07,-0.21,9.79,0.262
r,0.51,-0.00,-0.01,0.86,0.267
a,0.07,-0.21,9.75,0.271
r,0.51,-0.00,-0.01,0.86,0.275
a,0.07,-0.25,9.75,0.279
a,0.07,-0.25,9.79,0.281
r,0.51,-0.00,-0.01,0.86,0.286
a,0.07,-0.21,9.75,0.290
r,0.51,-0.00,-0.01,0.86,0.295
a,0.07,-0.21,9.75,0.297
a,0.07,-0.21,9.75,0.300
r,0.51,-0.00,-0.01,0.86,0.305
a,0.07,-0.21,9.75,0.309
a,0.07,-0.21,9.75,0.311
r,0.51,-0.00,-0.01,0.86,0.316
a,0.07,-0.25,9.79,0.319
a,0.07,-0.21,9.79,0.321
r,0.51,-0.00,-0.01,0.86,0.325
a,0.03,-0.21,9.75,0.329
a,0.03,-0.25,9.75,0.333
r,0.51,-0.00,-0.01,0.86,0.338
a,0.10,-0.21,9.75,0.341
a,0.07,-0.25,9.79,0.344
r,0.51,-0.00,-0.01,0.86,0.347
a,0.07,-0.25,9.79,0.351
r,0.51,-0.00,-0.01,0.86,0.356
a,0.03,-0.25,9.75,0.359
a,0.07,-0.21,9.75,0.361
r,0.51,-0.00,-0.01,0.86,0.366
a,0.07,-0.25,9.75,0.370
r,0.51,-0.00,-0.01,0.86,0.375
a,0.10,-0.21,9.79,0.377
a,0.03,-0.21,9.79,0.380
r,0.51,-0.00,-0.01,0.86,0.385
a,0.07,-0.21,9.75,0.389
a,0.10,-0.25,9.79,0.391
a,0.03,-0.25,9.79,0.395
r,0.51,-0.00,-0.01,0.86,0.398
a,0.10,-0.21,9.79,0.402
r,0.51,-0.00,-0.01,0.86,0.407
a,0.07,-0.21,9.79,0.410
r,0.51,-0.00,-0.01,0.86,0.415
a,0.07,-0.21,9.75,0.418
a,0.07,-0.21,9.75,0.421
r,0.51,-0.00,-0.01,0.86,0.426
a,0.07,-0.25,9.75,0.429
a,0.03,-0.21,9.79,0.433
r,0.51,-0.00,-0.01,0.86,0.437
a,0.07,-0.25,9.75,0.439
r,0.51,-0.00,-0.01,0.86,0.444
a,0.07,-0.21,9.75,0.448
a,0.03,-0.21,9.79,0.451
a,0.03,-0.21,9.79,0.454
r,0.51,-0.00,-0.01,0.86,0.457
a,0.03,-0.21,9.83,0.461
r,0.51,-0.00,-0.01,0.86,0.466
a,0.03,-0.21,9.79,0.470
r,0.51,-0.00,-0.01,0.86,0.475
a,0.07,-0.25,9.75,0.478
a,0.07,-0.21,9.79,0.480
r,0.51,-0.00,-0.01,0.86,0.485
a,0.07,-0.21,9.79,0.489
a,0.07,-0.25,9.79,0.491
r,0.51,-0.00,-0.01,0.86,0.496
a,0.07,-0.21,9.75,0.499
a,0.03,-0.25,9.79,0.502
r,0.51,-0.00,-0.01,0.86,0.506
a,0.03,-0.25,9.79,0.509
a,0.07,-0.25,9.75,0.513
r,0.51,-0.00,-0.01,0.86,0.516
a,0.07,-0.25,9.79,0.519
a,0.07,-0.21,9.75,0.523
r,0.51,-0.00,-0.01,0.86,0.526
a,0.07,-0.25,9.75,0.530
r,0.51,-0.00,-0.01,0.86,0.535
a,0.07,-0.21,9.75,0.539
a,0.07,-0.25,9.79,0.541
r,0.51,-0.00,-0.01,0.86,0.546
a,0.07,-0.21,9.79,0.550
r,0.51,-0.00,-0.01,0.86,0.555
a,0.07,-0.21,9.75,0.557
a,0.03,-0.21,9.79,0.560
r,0.51,-0.00,-0.01,0.86,0.565
