6.89, -2.68, 5.55, 0.0156,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
6.89, -2.68, 5.55, 0.0313,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0469,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
8.78, -0.46, 0.04, 0.0625,
10.31, -0.42, 0.46, 0.0781,
10.31, -0.42, 0.46, 0.0781,
10.31, -0.42, 0.46, 0.0781,
10.31, -0.42, 0.46, 0.0781,
10.31, -0.42, 0.46, 0.0781,
9.73, -0.57, 0.57, 0.1563,
9.73, -0.57, 0.57, 0.1563,
9.73, -0.57, 0.57, 0.1563,
9.73, -0.57, 0.57, 0.1563,
9.08, -0.50, 0.77, 0.1563,
9.08, -0.50, 0.77, 0.1563,
9.08, -0.50, 0.77, 0.1563,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1719,
9.08, -0.50, 0.77, 0.1875,
9.08, -0.50, 0.77, 0.1875,
9.08, -0.50, 0.77, 0.1875,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2656,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.20, -1.27, 1.11, 0.2813,
9.73, -1.00, 0.96, 0.4375,
9.73, -1.00, 0.96, 0.4375,
9.73, -1.00, 0.96, 0.4375,
9.73, -1.00, 0.96, 0.4375,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4531,
9.46, -0.65, 0.42, 0.4688,
9.46, -0.65, 0.42, 0.4688,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5469,
9.50, -0.50, 0.04, 0.5625,
9.50, -0.50, 0.04, 0.5625,
9.50, -0.50, 0.04, 0.5625,
